Reference,Formula,Ag,Al,Au,Co,Cr,Cu,Fe,Ir,Mg,Mn,Mo,Ni,Pd,Pt,Rh,Ru,W,Zn,Form,Dimension,Phase,pH,Synthesis method,MagpieData minimum Number,MagpieData mean MendeleevNumber,MagpieData mean NsValence,MagpieData mean NsUnfilled,MagpieData range MeltingT,MagpieData maximum GSvolume_pa,MagpieData mean Number,MagpieData avg_dev NsValence,MagpieData avg_dev Number,MagpieData minimum Electronegativity,MagpieData maximum MeltingT,MagpieData mode NdValence,MagpieData mode Number,MagpieData maximum Number,MagpieData range Electronegativity,MagpieData range CovalentRadius,onset_potential,tafel_slope
10.1002/adfm.202009613,Al20Cu20Fe20Mo20Ni20,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,monolithic ,3D,BCC,Alkaline,"alloying/dealloying approach,",13.0,60.6,1.6,0.4,1962.53,16.48,27.6,0.48,6.48,1.61,2896.0,0.0,13.0,42.0,0.55,33.0,9.7,60.0
10.1002/adfm.202009613,Al20Cu20Fe20Mo20Ni20,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,monolithic ,3D,BCC,Neutral,"alloying/dealloying approach,",13.0,60.6,1.6,0.4,1962.53,16.48,27.6,0.48,6.48,1.61,2896.0,0.0,13.0,42.0,0.55,33.0,24.0,50.0
10.1002/adfm.202009613,Al25Cu25Mo25Ni25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,monolithic ,3D,BCC,Neutral,"alloying/dealloying approach,",13.0,62.0,1.5,0.5,1962.53,16.48,28.0,0.5,7.5,1.61,2896.0,0.0,13.0,42.0,0.55,33.0,53.0,58.0
10.1002/adfm.202009613,Al33Cu33Ni33,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,monolithic ,3D,BCC,Neutral,"alloying/dealloying approach,",13.0,66.0,1.6666666666666667,0.3333333333333333,794.53,16.48,23.33333333333333,0.4444444444444444,6.888888888888889,1.61,1728.0,0.0,13.0,29.0,0.2999999999999998,11.0,202.0,148.0
10.1002/adfm.202110645,Co22Cu19Fe15Ir7Ni26Pt12,0.0,0.0,0.0,0.2246999999999999,0.0,0.1861,0.1456,0.0653,0.0,0.0,0.0,0.2562,0.0,0.1221,0.0,0.0,0.0,0.0,Nanoparticle,0D,FCC,Alkaline,laser pulsed irradiation,26.0,60.1895,1.6918000000000004,0.3082,1381.23,15.02,36.974900000000005,0.4264255199999999,15.245607480000004,1.83,2739.0,8.0,28.0,78.0,0.4499999999999997,17.0,21.0,54.5
10.1002/adfm.202301153,Co19Cu21Fe21Mn19Ni20,0.0,0.0,0.0,0.1934,0.0,0.2057999999999999,0.2103,0.0,0.0,0.1914999999999999,0.0,0.1989999999999999,0.0,0.0,0.0,0.0,0.0,0.0,bulk,3D,FCC,Alkaline,modified high-energy ball-milling process,25.0,58.0519,1.7942000000000002,0.2057999999999999,453.23,11.07,27.017299999999995,0.3268927199999998,1.207193919999999,1.55,1811.0,6.0,26.0,29.0,0.3599999999999999,15.0,313.5,180.0
10.1002/adfm.202304963,Cu20Ir5Pd34Pt21Rh20,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.34,0.21,0.2,0.0,0.0,0.0,nanosheet,2D,FCC,Alkaline,solvothermal method,29.0,61.91,0.71,0.61,1381.23,15.02,50.67,0.4828,14.1116,1.9,2739.0,10.0,46.0,78.0,0.3799999999999999,10.0,15.0,37.0
10.1002/adma.202300091,Co25Ir14Mn24Ni26Zn11,0.0,0.0,0.0,0.2497502497502497,0.0,0.0,0.0,0.1408591408591408,0.0,0.2367632367632367,0.0,0.2597402597402597,0.0,0.0,0.0,0.0,0.0,0.1128871128871129,Nanoparticle,0D,FCC,Acidic,sol-gel method,25.0,58.88211788211788,2.0,0.0,2046.32,14.21,34.16783216783217,0.0,12.066604723947378,1.55,2739.0,8.0,28.0,77.0,0.6500000000000001,19.0,27.3,30.6
10.1002/adma.202300091,Co23Fe25Ir16Ni24Zn12,0.0,0.0,0.0,0.2302302302302302,0.0,0.0,0.2522522522522523,0.1641641641641641,0.0,0.0,0.0,0.2372372372372372,0.0,0.0,0.0,0.0,0.0,0.1161161161161161,Nanoparticle,0D,FCC,Acidic,sol-gel method,26.0,59.56056056056056,2.0,0.0,2046.32,14.21,35.54154154154154,0.0,13.611986360735107,1.65,2739.0,6.0,26.0,77.0,0.5500000000000003,19.0,31.8,36.7
10.1002/adma.202300091,Co30Ir23Ni31Zn16,0.0,0.0,0.0,0.302,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.162,Nanoparticle,0D,FCC,Acidic,sol-gel method,27.0,61.162,2.0,0.0,2046.32,14.21,39.194,0.0,17.239536,1.65,2739.0,8.0,28.0,77.0,0.5500000000000003,19.0,32.8,49.5
